unique_id,order_id,quantity,unit_price,total_sale,order_date,order_status,product_category,cost_price,contact_number,address,city,country,last_name,first_name,order_size
1,10107,30,95.70,2871.00,2003-02-24,Shipped,Motorcycles,95.00,+12125557818,"897 Long Airport Avenue",NYC,USA,Yu,Kwai,Small
2,10121,34,101.92,2765.90,2003-05-07,Shipped,Motorcycles,97.07,+33063163958,"59 rue de l Abbaye",Reims,France,Henriot,Paul,Small
3,10134,41,101.92,3884.34,2003-07-01,Shipped,Motorcycles,97.07,+33324954603,"27 rue du Colonel Pierre Avia",Paris,France,"Da Cunha",Daniel,Medium
4,10145,45,101.92,3746.70,2003-08-25,Shipped,Motorcycles,97.07,+16265557265,"78934 Hillside Dr.",Pasadena,USA,Young,Julie,Medium
5,10203,20,125.88,3930.40,2003-12-02,Shipped,"Classic Cars",119.89,+34915559444,"C Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium
6,10159,49,100.00,5205.27,2003-10-10,Shipped,Motorcycles,95.00,+16505551386,"7734 Strong St.","San Francisco",USA,Brown,Julie,Medium
7,10168,36,96.66,3479.76,2003-10-28,Shipped,Motorcycles,95.00,+16505556809,"9408 Furth Circle",Burlingame,USA,Hirano,Juri,Medium
8,10211,41,125.88,7498.90,2004-01-15,Shipped,"Classic Cars",119.89,+33147556555,"25, rue Lauriston",Paris,France,Perrier,Dominique,Large
9,10180,29,101.92,2497.77,2003-11-11,Shipped,Motorcycles,97.07,+33435281170,"184, chausse de Tournai",Lille,France,Rance,Martine,Small
10,10225,27,125.88,4517.91,2004-02-22,Shipped,"Classic Cars",119.89,+41201542075,"Grenzacherweg 237",Gensve,Switzerland,Holz,Michael,Medium
11,10188,48,100.00,5512.32,2003-11-18,Shipped,Motorcycles,95.00,+4770186689,"Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan,Veysel,Medium
12,10238,28,125.88,5774.72,2004-04-09,Shipped,"Classic Cars",119.89,+4531123555,"Vinb ltet 34",Kobenhavn,Denmark,Petersen,Jytte,Medium
13,10253,24,125.88,3922.56,2004-06-01,Cancelled,"Classic Cars",119.89,+441715552282,"Berkeley Gardens 12 Brewery",Liverpool,UK,Devon,Elizabeth,Medium
14,10266,44,125.88,9160.36,2004-07-06,Shipped,"Classic Cars",119.89,+39090470829,"Strada Provinciale 124","Reggio Emilia",Italy,Moroni,Maurizio,Large
15,10276,50,125.88,9631.00,2004-08-02,Shipped,"Classic Cars",119.89,+16175557555,"7635 Spinnaker Dr.",Brickhaven,USA,Barajas,Miguel,Large
16,10287,21,125.88,3432.24,2004-08-30,Shipped,"Classic Cars",119.89,+41417940790,"Grenzacherweg 237",Gensve,Switzerland,Holz,Michael,Medium
17,10201,22,98.57,2168.54,2003-12-01,Shipped,Motorcycles,95.00,+16505555787,"5557 North Pendale Street","San Francisco",USA,Murphy,Julie,Small
18,10211,41,100.00,4708.44,2004-01-15,Shipped,Motorcycles,95.00,+33147556555,"25, rue Lauriston",Paris,France,Perrier,Dominique,Medium
19,10194,42,125.88,7290.36,2003-11-25,Shipped,"Classic Cars",119.89,+33375579110,"2, rue du Commerce",Lyon,France,Saveley,Mary,Large
20,10223,37,100.00,3965.66,2004-02-20,Shipped,Motorcycles,95.00,+61062407321,"636 St Kilda Road",Melbourne,Australia,Ferguson,Peter,Medium
21,10374,22,100.00,3834.38,2005-02-02,Shipped,Motorcycles,97.07,+61099362876,"31 Duncan St. West End","South Brisbane",Australia,Calaghan,Tony,Medium
22,10237,23,100.00,2333.12,2004-04-05,Shipped,Motorcycles,95.00,+12125551500,"2678 Kingston Rd.",NYC,USA,Frick,Michael,Small
23,10251,28,100.00,3188.64,2004-05-18,Shipped,Motorcycles,95.00,+12015559350,"7476 Moss Rd.",Newark,USA,Brown,William,Medium
24,10263,34,100.00,3676.76,2004-06-28,Shipped,Motorcycles,95.00,+12035552570,"25593 South Bay Ln.",Bridgewater,USA,King,Julie,Medium
25,10206,47,125.88,9064.89,2003-12-05,Shipped,"Classic Cars",119.89,+16045553392,"1900 Oak St.",Vancouver,Canada,Tannamuri,Yoshi,Large
26,10300,33,125.88,5521.89,2003-10-04,Shipped,"Classic Cars",119.89,+490095924221,"Lyonerstr. 34",Frankfurt,Germany,Keitel,Roland,Medium
27,10310,33,125.88,6934.62,2004-10-16,Shipped,"Classic Cars",119.89,+490498734841,"Mehrheimerstr. 369",Koln,Germany,Pfalzheim,Henriette,Medium
28,10275,45,101.92,4177.35,2004-07-23,Shipped,Motorcycles,97.07,+33205901572,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Medium
29,10285,36,100.00,4099.68,2004-08-27,Shipped,Motorcycles,95.00,+16175558555,"39323 Spinnaker Dr.",Cambridge,USA,Hernandez,Marta,Medium
30,10299,23,100.00,2597.39,2004-09-30,Shipped,Motorcycles,95.00,+358902248555,"Keskuskatu 45",Helsinki,Finland,Karttunen,Matti,Small
31,10320,31,125.88,6876.11,2004-11-03,Shipped,"Classic Cars",119.89,+46053330336,"Berguvsv gen 8",Lule,Sweden,Berglund,Christina,Medium
32,10309,41,100.00,4394.38,2004-10-15,Shipped,Motorcycles,95.00,+4704881215,"Erling Skakkes gate 78",Stavern,Norway,Bergulfsen,Jonas,Medium
33,10318,46,101.92,4358.04,2004-11-02,Shipped,Motorcycles,97.07,+12155551555,"7586 Pompton St.",Allentown,USA,Yu,Kyung,Medium
34,10329,41,125.88,2930.27,2004-11-15,Shipped,"Classic Cars",119.89,+12125557818,"897 Long Airport Avenue",NYC,USA,Yu,Kwai,Small
35,10329,42,100.00,4396.14,2004-11-15,Shipped,Motorcycles,95.00,+12125557818,"897 Long Airport Avenue",NYC,USA,Yu,Kwai,Medium
36,10215,35,125.88,6075.30,2004-01-29,Shipped,"Classic Cars",119.89,+13105553722,"3675 Furth Circle",Burbank,USA,Thompson,Steve,Medium
37,10341,45,125.88,3584.25,2004-11-24,Shipped,"Classic Cars",119.89,+43064415071,"Geislweg 14",Salzburg,Austria,Pipps,Georg,Medium
38,10363,33,125.88,2817.87,2005-01-06,Shipped,"Classic Cars",119.89,+358007431715,"Software Engineering Center, SEC Oy",Espoo,Finland,Suominen,Kalle,Small
39,10388,21,101.92,1822.17,2005-03-03,Shipped,Motorcycles,97.07,+15085552555,"1785 First Street","New Bedford",USA,Benitez,Violeta,Small
