unique_id,order_id,quantity,unit_price,total_sale,order_date,order_status,product_category,cost_price,contact_number,address,city,country,last_name,first_name,order_size,is_dirty
1,10107,30,95.70,2871.00,2003-02-24,Shipped,Motorcycles,95.00,2125557818,"897 Long Airport Avenue",NYC,USA,Yu,Kwai,Small,0
2,10121,34,81.35,2765.90,2003-05-07,Shipped,Motorcycles,95.00,26.47.1555,"59 rue de l'Abbaye",Reims,France,Henriot,Paul,Small,0
3,10134,41,94.74,3884.34,2003-07-01,Shipped,Motorcycles,95.00,"+33 1 46 62 7555","27 rue du Colonel Pierre Avia",Paris,France,"Da Cunha",Daniel,Medium,0
4,10145,45,83.26,3746.70,2003-08-25,Shipped,Motorcycles,95.00,6265557265,"78934 Hillside Dr.",Pasadena,USA,Young,Julie,Medium,0
5,10203,20,100.00,3930.40,2003-12-02,Shipped,"Classic Cars",194.00,"(91) 555 94 44","C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,0
6,10159,49,100.00,5205.27,2003-10-10,Shipped,Motorcycles,95.00,6505551386,"7734 Strong St.","San Francisco",USA,Brown,Julie,Medium,0
7,10168,36,96.66,3479.76,2003-10-28,Shipped,Motorcycles,95.00,6505556809,"9408 Furth Circle",Burlingame,USA,Hirano,Juri,Medium,0
8,10211,41,100.00,7498.90,2004-01-15,Shipped,"Classic Cars",194.00,"(1) 47.55.6555","25, rue Lauriston",Paris,France,Perrier,Dominique,Large,0
9,10180,29,86.13,2497.77,2003-11-11,Shipped,Motorcycles,95.00,20.16.1555,"184, chausse de Tournai",Lille,France,Rance,Martine,Small,0
10,10225,27,100.00,4517.91,2004-02-22,Shipped,"Classic Cars",194.00,0897-034555,"Grenzacherweg 237",Gensve,Switzerland,Holz,Michael,Medium,0
11,10188,48,100.00,5512.32,2003-11-18,Shipped,Motorcycles,95.00,"+47 2267 3215","Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan,Veysel,Medium,0
12,10238,28,100.00,5774.72,2004-04-09,Shipped,"Classic Cars",194.00,"31 12 3555","Vinb'ltet 34",Kobenhavn,Denmark,Petersen,Jytte,Medium,0
13,10253,24,100.00,3922.56,2004-06-01,Cancelled,"Classic Cars",194.00,"(171) 555-2282","Berkeley Gardens 12  Brewery",Liverpool,UK,Devon,Elizabeth,Medium,0
14,10266,44,100.00,9160.36,2004-07-06,Shipped,"Classic Cars",194.00,0522-556555,"Strada Provinciale 124","Reggio Emilia",Italy,Moroni,Maurizio,Large,0
15,10276,50,100.00,9631.00,2004-08-02,Shipped,"Classic Cars",194.00,6175557555,"7635 Spinnaker Dr.",Brickhaven,USA,Barajas,Miguel,Large,0
16,10287,21,100.00,3432.24,2004-08-30,Shipped,"Classic Cars",194.00,0897-034555,"Grenzacherweg 237",Gensve,Switzerland,Holz,Michael,Medium,0
17,10201,22,98.57,2168.54,2003-12-01,Shipped,Motorcycles,95.00,6505555787,"5557 North Pendale Street","San Francisco",USA,Murphy,Julie,Small,0
18,10211,41,100.00,4708.44,2004-01-15,Shipped,Motorcycles,95.00,"(1) 47.55.6555","25, rue Lauriston",Paris,France,Perrier,Dominique,Medium,0
19,10194,42,100.00,7290.36,2003-11-25,Shipped,"Classic Cars",214.00,78.32.5555,"2, rue du Commerce",Lyon,France,Saveley,Mary,Large,0
20,10223,37,100.00,3965.66,2004-02-20,Shipped,Motorcycles,95.00,"03 9520 4555","636 St Kilda Road",Melbourne,Australia,Ferguson,Peter,Medium,0
21,10374,22,100.00,3834.38,2005-02-02,Shipped,Motorcycles,193.00,61-7-3844-6555,"31 Duncan St. West End","South Brisbane",Australia,Calaghan,Tony,Medium,0
22,10237,23,100.00,2333.12,2004-04-05,Shipped,Motorcycles,95.00,2125551500,"2678 Kingston Rd.",NYC,USA,Frick,Michael,Small,0
23,10251,28,100.00,3188.64,2004-05-18,Shipped,Motorcycles,95.00,2015559350,"7476 Moss Rd.",Newark,USA,Brown,William,Medium,0
24,10263,34,100.00,3676.76,2004-06-28,Shipped,Motorcycles,95.00,2035552570,"25593 South Bay Ln.",Bridgewater,USA,King,Julie,Medium,0
25,10206,47,100.00,9064.89,2003-12-05,Shipped,"Classic Cars",214.00,"(604) 555-3392","1900 Oak St.",Vancouver,Canada,Tannamuri,Yoshi,Large,0
26,10300,33,100.00,5521.89,2003-10-04,Shipped,"Classic Cars",194.00,"+49 69 66 90 2555","Lyonerstr. 34",Frankfurt,Germany,Keitel,Roland,Medium,0
27,10310,33,100.00,6934.62,2004-10-16,Shipped,"Classic Cars",194.00,0221-5554327,"Mehrheimerstr. 369",Koln,Germany,Pfalzheim,Henriette,Medium,0
28,10275,45,92.83,4177.35,2004-07-23,Shipped,Motorcycles,95.00,40.67.8555,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Medium,0
29,10285,36,100.00,4099.68,2004-08-27,Shipped,Motorcycles,95.00,6175558555,"39323 Spinnaker Dr.",Cambridge,USA,Hernandez,Marta,Medium,0
30,10299,23,100.00,2597.39,2004-09-30,Shipped,Motorcycles,95.00,"90-224 8555","Keskuskatu 45",Helsinki,Finland,Karttunen,Matti,Small,0
31,10320,31,100.00,6876.11,2004-11-03,Shipped,"Classic Cars",194.00,"0921-12 3555","Berguvsvâ€žgen  8",Lule,Sweden,Berglund,Christina,Medium,0
32,10309,41,100.00,4394.38,2004-10-15,Shipped,Motorcycles,95.00,"07-98 9555","Erling Skakkes gate 78",Stavern,Norway,Bergulfsen,Jonas,Medium,0
33,10318,46,94.74,4358.04,2004-11-02,Shipped,Motorcycles,95.00,2155551555,"7586 Pompton St.",Allentown,USA,Yu,Kyung,Medium,0
34,10329,41,71.47,2930.27,2004-11-15,Shipped,"Classic Cars",194.00,2125557818,"897 Long Airport Avenue",NYC,USA,Yu,Kwai,Small,0
35,10329,42,100.00,4396.14,2004-11-15,Shipped,Motorcycles,95.00,2125557818,"897 Long Airport Avenue",NYC,USA,Yu,Kwai,Medium,0
36,10215,35,100.00,6075.30,2004-01-29,Shipped,"Classic Cars",214.00,3105553722,"3675 Furth Circle",Burbank,USA,Thompson,Steve,Medium,0
37,10341,45,79.65,3584.25,2004-11-24,Shipped,"Classic Cars",194.00,6562-9555,"Geislweg 14",Salzburg,Austria,Pipps,Georg,Medium,0
38,10363,33,85.39,2817.87,2005-01-06,Shipped,"Classic Cars",194.00,"+358 9 8045 555","Software Engineering Center, SEC Oy",Espoo,Finland,Suominen,Kalle,Small,0
39,10388,21,86.77,1822.17,2005-03-03,Shipped,Motorcycles,193.00,5085552555,"1785 First Street","New Bedford",USA,Benitez,Violeta,Small,0
40,10228,29,100.00,6463.23,2004-03-10,Shipped,"Classic Cars",214.00,6175555555,"4658 Baden Av.",Cambridge,USA,Tseng,Kyung,Medium,0
41,10341,41,100.00,7737.93,2004-11-24,Shipped,Motorcycles,95.00,6562-9555,"Geislweg 14",Salzburg,Austria,Pipps,Georg,Large,0
42,10375,45,76.00,3420.00,2005-02-03,Shipped,"Classic Cars",194.00,40.67.8555,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Medium,0
43,10403,66,100.00,11886.60,2005-04-08,Shipped,Motorcycles,193.00,"(171) 555-2282","Berkeley Gardens 12  Brewery",Liverpool,UK,Devon,Elizabeth,Large,0
44,10361,20,72.55,1451.00,2004-12-17,Shipped,Motorcycles,95.00,"+61 2 9495 8555","Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley,Adrian,Small,0
45,10389,26,99.04,2575.04,2005-03-03,Shipped,"Classic Cars",194.00,"0695-34 6555","?kergatan 24",Boras,Sweden,Larsson,Maria,Small,0
46,10375,21,34.91,733.11,2005-02-03,Shipped,Motorcycles,95.00,40.67.8555,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Small,0
47,10245,34,100.00,6120.34,2004-05-04,Shipped,"Classic Cars",214.00,2035559545,"567 North Pendale Street","New Haven",USA,Murphy,Leslie,Medium,0
48,10388,42,76.36,3207.12,2005-03-03,Shipped,Motorcycles,95.00,5085552555,"1785 First Street","New Bedford",USA,Benitez,Violeta,Medium,0
49,10419,12,100.00,1961.28,2005-05-17,Shipped,"Classic Cars",194.00,6562-9555,"Geislweg 14",Salzburg,Austria,Pipps,Georg,Small,0
50,10417,56,100.00,9218.16,2005-05-13,Disputed,Motorcycles,193.00,"(91) 555 94 44","C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Large,0
51,10403,24,100.00,2434.56,2005-04-08,Shipped,Motorcycles,95.00,"(171) 555-2282","Berkeley Gardens 12  Brewery",Liverpool,UK,Devon,Elizabeth,Small,0
52,10105,41,100.00,8690.36,2003-02-11,Shipped,"Classic Cars",207.00,"31 12 3555","Vinb'ltet 34",Kobenhavn,Denmark,Petersen,Jytte,Large,0
53,10417,66,100.00,7516.08,2005-05-13,Disputed,Motorcycles,95.00,"(91) 555 94 44","C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Large,0
54,10117,33,100.00,6034.38,2003-04-16,Shipped,"Classic Cars",207.00,"+65 221 7555","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Medium,0
55,10103,26,100.00,5404.62,2003-01-29,Shipped,"Classic Cars",214.00,"07-98 9555","Erling Skakkes gate 78",Stavern,Norway,Bergulfsen,Jonas,Medium,0
56,10127,46,100.00,11279.20,2003-06-03,Shipped,"Classic Cars",207.00,2125557413,"4092 Furth Circle",NYC,USA,Young,Jeff,Large,0
57,10112,29,100.00,7209.11,2003-03-24,Shipped,"Classic Cars",214.00,"0921-12 3555","Berguvsvâ€žgen  8",Lule,Sweden,Berglund,Christina,Large,0
58,10126,38,100.00,7329.06,2003-05-28,Shipped,"Classic Cars",214.00,"(91) 555 22 82","C/ Araquil, 67",Madrid,Spain,Sommer,MartÂ¡n,Large,0
59,10258,32,100.00,7680.64,2004-06-15,Shipped,"Classic Cars",214.00,"+81 3 3584 0555","2-2-8 Roppongi",Minato-ku,Japan,Shimamura,Akiko,Large,0
60,10270,21,100.00,4905.39,2004-07-19,Shipped,"Classic Cars",214.00,"+61 2 9495 8555","Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley,Adrian,Medium,0
61,10105,50,100.00,7208.00,2003-02-11,Shipped,"Classic Cars",136.00,"31 12 3555","Vinb'ltet 34",Kobenhavn,Denmark,Petersen,Jytte,Large,0
62,10280,34,100.00,8014.82,2004-08-17,Shipped,"Classic Cars",214.00,011-4988555,"Via Monte Bianco 34",Torino,Italy,Accorti,Paolo,Large,0
63,10142,33,100.00,8023.29,2003-08-08,Shipped,"Classic Cars",207.00,4155551450,"5677 Strong St.","San Rafael",USA,Nelson,Valarie,Large,0
64,10153,20,100.00,4904.00,2003-09-28,Shipped,"Classic Cars",207.00,"(91) 555 94 44","C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,0
65,10165,44,100.00,8594.52,2003-10-22,Shipped,"Classic Cars",207.00,"+65 221 7555","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Large,0
66,10119,46,100.00,5004.80,2003-04-28,Shipped,"Classic Cars",136.00,6562-9555,"Geislweg 14",Salzburg,Austria,Pipps,Georg,Medium,0
67,10176,33,100.00,7474.50,2003-11-06,Shipped,"Classic Cars",207.00,0522-556555,"Strada Provinciale 124","Reggio Emilia",Italy,Moroni,Maurizio,Large,0
68,10129,33,100.00,4398.24,2003-06-12,Shipped,"Classic Cars",136.00,"(171) 555-0297","35 King George",London,UK,Brown,Ann,Medium,0
69,10140,37,100.00,7374.10,2003-07-24,Shipped,"Classic Cars",214.00,6505556809,"9408 Furth Circle",Burlingame,USA,Hirano,Juri,Large,0
70,10185,21,100.00,3883.74,2003-11-14,Shipped,"Classic Cars",207.00,5085559555,"4575 Hillside Dr.","New Bedford",USA,Tam,"Wing C",Medium,0
71,10150,45,100.00,10993.50,2003-09-19,Shipped,"Classic Cars",214.00,"+65 221 7555","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Large,0
72,10196,47,100.00,8887.70,2003-11-26,Shipped,"Classic Cars",207.00,2035559545,"567 North Pendale Street","New Haven",USA,Murphy,Leslie,Large,0
73,10208,46,100.00,8602.92,2004-01-02,Shipped,"Classic Cars",207.00,78.32.5555,"2, rue du Commerce",Lyon,France,Saveley,Mary,Large,0
74,10163,21,100.00,4860.24,2003-10-20,Shipped,"Classic Cars",214.00,2125558493,"5905 Pompton St.",NYC,USA,Hernandez,Maria,Medium,0
75,10220,32,100.00,7181.44,2004-02-12,Shipped,"Classic Cars",207.00,"+353 1862 1555","25 Maiden Lane",Dublin,Ireland,Cassidy,Dean,Large,0
76,10174,34,100.00,8014.82,2003-11-06,Shipped,"Classic Cars",214.00,61-7-3844-6555,"31 Duncan St. West End","South Brisbane",Australia,Calaghan,Tony,Large,0
77,10143,49,100.00,5597.76,2003-08-10,Shipped,"Classic Cars",136.00,5085559555,"4575 Hillside Dr.","New Bedford",USA,Tam,"Wing C",Medium,0
78,10231,42,100.00,8378.58,2004-03-19,Shipped,"Classic Cars",207.00,"+34 913 728 555","Merchants House, 27-30 Merchant's Quay",Madrid,Spain,Fernandez,Jesus,Large,0
79,10183,23,100.00,5372.57,2003-11-13,Shipped,"Classic Cars",214.00,2155554695,"782 First Street",Philadelphia,USA,Cervantes,Francisca,Medium,0
80,10291,37,100.00,7136.19,2004-09-08,Shipped,"Classic Cars",214.00,"0695-34 6555","?kergatan 24",Boras,Sweden,Larsson,Maria,Large,0
81,10304,47,100.00,10172.70,2004-10-11,Shipped,"Classic Cars",214.00,30.59.8555,"67, avenue de l'Europe",Versailles,France,Tonini,Daniel,Large,0
82,10247,44,100.00,10606.20,2004-05-05,Shipped,"Classic Cars",207.00,"+358 9 8045 555","Software Engineering Center, SEC Oy",Espoo,Finland,Suominen,Kalle,Large,0
83,10272,35,100.00,5818.40,2004-07-20,Shipped,"Classic Cars",207.00,2155551555,"7586 Pompton St.",Allentown,USA,Yu,Kyung,Medium,0
84,10282,41,100.00,7071.27,2004-08-20,Shipped,"Classic Cars",207.00,4155551450,"5677 Strong St.","San Rafael",USA,Nelson,Valarie,Large,0
85,10293,46,100.00,8411.56,2004-09-09,Shipped,"Classic Cars",207.00,011-4988555,"Via Monte Bianco 34",Torino,Italy,Accorti,Paolo,Large,0
86,10381,20,100.00,2952.00,2005-02-17,Shipped,"Trucks and Buses",136.00,6505551386,"7734 Strong St.","San Francisco",USA,Brown,Julie,Small,0
87,10312,48,100.00,11623.70,2004-10-21,Shipped,"Classic Cars",214.00,4155551450,"5677 Strong St.","San Rafael",USA,Nelson,Valarie,Large,0
88,10306,31,100.00,6570.76,2004-10-14,Shipped,"Classic Cars",207.00,"(171) 555-1555","Fauntleroy Circus",Manchester,UK,Ashworth,Victoria,Medium,0
89,10391,39,63.20,2464.80,2005-03-09,Shipped,"Trucks and Buses",136.00,"02 9936 8555","201 Miller Street","North Sydney",Australia,O'Hara,Anna,Small,0
90,10322,40,100.00,6000.40,2004-11-04,Shipped,"Classic Cars",214.00,6035558647,"2304 Long Airport Avenue",Nashua,USA,Young,Valarie,Medium,0
91,10314,38,100.00,7975.44,2004-10-22,Shipped,"Classic Cars",207.00,"86 21 3555","Smagsloget 45",Aaarhus,Denmark,Ibsen,Palle,Large,0
92,10411,40,100.00,6232.00,2005-05-01,Shipped,"Trucks and Buses",136.00,"(514) 555-8054","43 rue St. Laurent",Montreal,Canada,Fresnisre,Jean,Medium,0
93,10325,42,64.00,2688.00,2004-11-05,Shipped,"Classic Cars",207.00,"07-98 9555","Erling Skakkes gate 78",Stavern,Norway,Bergulfsen,Jonas,Small,0
94,10333,26,100.00,3003.00,2004-11-18,Shipped,"Classic Cars",214.00,6505555787,"5557 North Pendale Street","San Francisco",USA,Murphy,Julie,Medium,0
95,10424,49,100.00,7969.36,2005-05-31,"In Process","Trucks and Buses",136.00,"(91) 555 94 44","C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Large,0
96,10347,30,100.00,3944.70,2004-11-29,Shipped,"Classic Cars",214.00,"03 9520 4555","636 St Kilda Road",Melbourne,Australia,Ferguson,Peter,Medium,0
97,10336,33,57.22,1888.26,2004-11-20,Shipped,"Classic Cars",207.00,"(1) 42.34.2555","265, boulevard Charonne",Paris,France,Bertrand,Marie,Small,0
98,10107,21,100.00,3036.60,2003-02-24,Shipped,Motorcycles,150.00,2125557818,"897 Long Airport Avenue",NYC,USA,Yu,Kwai,Medium,0
99,10348,48,52.36,2513.28,2004-11-01,Shipped,"Classic Cars",207.00,"(91) 555 22 82","C/ Araquil, 67",Madrid,Spain,Sommer,MartÂ¡n,Small,0
100,10121,50,100.00,8284.00,2003-05-07,Shipped,Motorcycles,150.00,26.47.1555,"59 rue de l'Abbaye",Reims,France,Henriot,Paul,Large,0
101,10155,32,100.00,4526.08,2003-10-06,Shipped,"Classic Cars",136.00,"90-224 8555","Keskuskatu 45",Helsinki,Finland,Karttunen,Matti,Medium,0
102,10134,20,100.00,2711.20,2003-07-01,Shipped,Motorcycles,150.00,"+33 1 46 62 7555","27 rue du Colonel Pierre Avia",Paris,France,"Da Cunha",Daniel,Small,0
103,10359,42,100.00,4764.48,2004-12-15,Shipped,"Classic Cars",207.00,26.47.1555,"59 rue de l'Abbaye",Reims,France,Henriot,Paul,Medium,0
104,10145,49,100.00,8339.80,2003-08-25,Shipped,Motorcycles,150.00,6265557265,"78934 Hillside Dr.",Pasadena,USA,Young,Julie,Large,0
105,10167,44,100.00,5924.16,2003-10-23,Cancelled,"Classic Cars",136.00,"0695-34 6555","?kergatan 24",Boras,Sweden,Larsson,Maria,Medium,0
106,10159,38,100.00,6238.84,2003-10-10,Shipped,Motorcycles,150.00,6505551386,"7734 Strong St.","San Francisco",USA,Brown,Julie,Medium,0
107,10371,32,100.00,3560.64,2005-01-23,Shipped,"Classic Cars",207.00,4155551450,"5677 Strong St.","San Rafael",USA,Nelson,Valarie,Medium,0
108,10357,32,100.00,5691.84,2004-12-10,Shipped,"Classic Cars",214.00,4155551450,"5677 Strong St.","San Rafael",USA,Nelson,Valarie,Medium,0
109,10382,34,100.00,3823.64,2005-02-17,Shipped,"Classic Cars",207.00,4155551450,"5677 Strong St.","San Rafael",USA,Nelson,Valarie,Medium,0
110,10369,41,100.00,4514.92,2005-01-20,Shipped,"Classic Cars",214.00,6175558555,"7825 Douglas Av.",Brickhaven,USA,Nelson,Allen,Medium,0
111,10381,36,100.00,8254.80,2005-02-17,Shipped,"Classic Cars",214.00,6505551386,"7734 Strong St.","San Francisco",USA,Brown,Julie,Large,0
112,10395,33,69.12,2280.96,2005-03-17,Shipped,"Classic Cars",207.00,"+33 1 46 62 7555","27 rue du Colonel Pierre Avia",Paris,France,"Da Cunha",Daniel,Small,0
113,10178,24,100.00,3492.48,2003-11-08,Shipped,"Classic Cars",136.00,61.77.6555,"1 rue Alsace-Lorraine",Toulouse,France,Roulet,Annette,Medium,0
114,10413,36,100.00,8677.80,2005-05-05,Shipped,"Classic Cars",207.00,2035552570,"25593 South Bay Ln.",Bridgewater,USA,King,Julie,Large,0
115,10391,24,100.00,2416.56,2005-03-09,Shipped,"Classic Cars",214.00,"02 9936 8555","201 Miller Street","North Sydney",Australia,O'Hara,Anna,Small,0
116,10169,35,100.00,4639.25,2003-11-04,Shipped,Motorcycles,150.00,"02 9936 8555","201 Miller Street","North Sydney",Australia,O'Hara,Anna,Medium,0
117,10180,40,100.00,6747.60,2003-11-11,Shipped,Motorcycles,150.00,20.16.1555,"184, chausse de Tournai",Lille,France,Rance,Martine,Medium,0
118,10411,23,100.00,4140.23,2005-05-01,Shipped,"Classic Cars",214.00,"(514) 555-8054","43 rue St. Laurent",Montreal,Canada,Fresnisre,Jean,Medium,0
119,10189,28,100.00,4512.48,2003-11-18,Shipped,Motorcycles,150.00,6265557265,"78934 Hillside Dr.",Pasadena,USA,Young,Julie,Medium,0
120,10186,26,100.00,3854.24,2003-11-14,Shipped,"Classic Cars",136.00,"(171) 555-7555","120 Hanover Sq.",London,UK,Hardy,Thomas,Medium,0
